Open,High,Low,Close,Datetime
"24,695.30","24,711.00","24,695.30","24,697.10",24.00-8.00-20.00 10.00:0.00
"24,695.30","24,711.00","24,695.30","24,697.10",24.00-8.00-20.00 10.00:0.00
"24,683.95","24,698.00","24,665.70","24,695.60",24.00-8.00-20.00 9.00:55.00
"24,688.45","24,688.45","24,675.95","24,682.95",24.00-8.00-20.00 9.00:50.00
"24,669.45","24,688.10","24,658.80","24,688.00",24.00-8.00-20.00 9.00:45.00
"24,656.25","24,676.90","24,653.45","24,669.75",24.00-8.00-20.00 9.00:40.00
"24,635.40","24,659.15","24,630.75","24,657.05",24.00-8.00-20.00 9.00:35.00
"24,622.40","24,639.00","24,616.15","24,636.05",24.00-8.00-20.00 9.00:30.00
"24,618.45","24,626.75","24,607.20","24,622.85",24.00-8.00-20.00 9.00:25.00
"24,626.85","24,634.95","24,613.35","24,618.90",24.00-8.00-20.00 9.00:20.00
"24,660.30","24,660.30","24,619.50","24,628.40",24.00-8.00-20.00 9.00:15.00
"24,580.80","24,585.05","24,574.70","24,579.00",24.00-8.00-19.00 15.00:25.00
"24,589.35","24,589.75","24,577.30","24,579.75",24.00-8.00-19.00 15.00:20.00
"24,571.25","24,590.30","24,570.60","24,588.85",24.00-8.00-19.00 15.00:15.00
"24,573.15","24,578.00","24,562.45","24,571.45",24.00-8.00-19.00 15.00:10.00
"24,572.30","24,574.75","24,562.75","24,574.05",24.00-8.00-19.00 15.00:5.00
"24,578.70","24,579.15","24,564.45","24,574.95",24.00-8.00-19.00 15.00:0.00
"24,585.00","24,592.35","24,576.30","24,577.85",24.00-8.00-19.00 14.00:55.00
"24,578.35","24,588.85","24,576.65","24,586.65",24.00-8.00-19.00 14.00:50.00
"24,586.00","24,588.50","24,576.75","24,577.60",24.00-8.00-19.00 14.00:45.00
"24,584.55","24,591.55","24,580.65","24,586.30",24.00-8.00-19.00 14.00:40.00
"24,580.15","24,587.20","24,578.70","24,585.45",24.00-8.00-19.00 14.00:35.00
"24,584.25","24,586.05","24,566.90","24,578.95",24.00-8.00-19.00 14.00:30.00
"24,584.35","24,588.00","24,576.85","24,583.00",24.00-8.00-19.00 14.00:25.00
"24,577.10","24,584.50","24,569.95","24,584.20",24.00-8.00-19.00 14.00:20.00
"24,573.20","24,581.60","24,571.75","24,576.80",24.00-8.00-19.00 14.00:15.00
"24,579.90","24,580.10","24,567.70","24,572.35",24.00-8.00-19.00 14.00:10.00
"24,573.10","24,581.45","24,569.45","24,580.10",24.00-8.00-19.00 14.00:5.00
"24,569.65","24,577.15","24,563.00","24,573.00",24.00-8.00-19.00 14.00:0.00
"24,572.05","24,576.30","24,559.50","24,569.50",24.00-8.00-19.00 13.00:55.00
"24,560.00","24,571.65","24,555.80","24,571.65",24.00-8.00-19.00 13.00:50.00
"24,557.40","24,561.25","24,543.85","24,560.10",24.00-8.00-19.00 13.00:45.00
"24,560.35","24,564.05","24,553.10","24,557.35",24.00-8.00-19.00 13.00:40.00
"24,570.25","24,573.80","24,556.25","24,560.50",24.00-8.00-19.00 13.00:35.00
"24,561.80","24,574.85","24,561.80","24,569.85",24.00-8.00-19.00 13.00:30.00
"24,579.60","24,582.35","24,562.85","24,562.85",24.00-8.00-19.00 13.00:25.00
"24,600.00","24,603.15","24,578.20","24,579.75",24.00-8.00-19.00 13.00:20.00
"24,590.90","24,605.10","24,590.10","24,599.95",24.00-8.00-19.00 13.00:15.00
"24,579.90","24,592.30","24,576.95","24,590.45",24.00-8.00-19.00 13.00:10.00
"24,589.65","24,589.95","24,578.50","24,579.55",24.00-8.00-19.00 13.00:5.00
"24,574.70","24,592.90","24,573.15","24,588.95",24.00-8.00-19.00 13.00:0.00
"24,583.80","24,586.05","24,570.45","24,574.65",24.00-8.00-19.00 12.00:55.00
"24,575.10","24,586.60","24,572.35","24,583.35",24.00-8.00-19.00 12.00:50.00
"24,570.10","24,579.25","24,567.65","24,574.45",24.00-8.00-19.00 12.00:45.00
"24,575.30","24,579.35","24,567.85","24,570.40",24.00-8.00-19.00 12.00:40.00
"24,564.85","24,578.25","24,561.95","24,575.65",24.00-8.00-19.00 12.00:35.00
"24,556.85","24,575.45","24,552.25","24,565.85",24.00-8.00-19.00 12.00:30.00
"24,566.80","24,568.00","24,556.30","24,556.60",24.00-8.00-19.00 12.00:25.00
"24,574.15","24,578.95","24,557.20","24,566.65",24.00-8.00-19.00 12.00:20.00
"24,569.70","24,579.95","24,567.25","24,575.25",24.00-8.00-19.00 12.00:15.00
"24,578.20","24,578.20","24,561.15","24,570.00",24.00-8.00-19.00 12.00:10.00
"24,583.45","24,585.55","24,575.05","24,575.65",24.00-8.00-19.00 12.00:5.00
"24,594.00","24,596.65","24,569.15","24,583.60",24.00-8.00-19.00 12.00:0.00
"24,588.35","24,596.00","24,586.35","24,593.90",24.00-8.00-19.00 11.00:55.00
"24,579.75","24,588.80","24,574.60","24,588.50",24.00-8.00-19.00 11.00:50.00
"24,583.45","24,588.40","24,570.95","24,579.55",24.00-8.00-19.00 11.00:45.00
"24,583.15","24,593.70","24,578.15","24,583.05",24.00-8.00-19.00 11.00:40.00
"24,585.75","24,598.00","24,579.20","24,584.20",24.00-8.00-19.00 11.00:35.00
"24,586.35","24,595.85","24,581.30","24,585.20",24.00-8.00-19.00 11.00:30.00
"24,574.45","24,585.55","24,571.25","24,585.55",24.00-8.00-19.00 11.00:25.00
"24,571.80","24,588.05","24,570.10","24,574.15",24.00-8.00-19.00 11.00:20.00
"24,544.45","24,576.90","24,542.70","24,571.65",24.00-8.00-19.00 11.00:15.00
"24,530.75","24,544.60","24,527.60","24,543.95",24.00-8.00-19.00 11.00:10.00
"24,539.55","24,546.95","24,527.00","24,531.10",24.00-8.00-19.00 11.00:5.00
"24,551.65","24,558.15","24,522.95","24,538.30",24.00-8.00-19.00 11.00:0.00
"24,548.35","24,561.80","24,548.35","24,552.50",24.00-8.00-19.00 10.00:55.00
"24,556.30","24,559.90","24,543.05","24,549.00",24.00-8.00-19.00 10.00:50.00
"24,565.10","24,570.60","24,545.75","24,556.50",24.00-8.00-19.00 10.00:45.00
"24,555.75","24,570.45","24,548.50","24,565.40",24.00-8.00-19.00 10.00:40.00
"24,555.45","24,568.35","24,552.00","24,556.00",24.00-8.00-19.00 10.00:35.00
"24,557.50","24,583.10","24,551.75","24,555.35",24.00-8.00-19.00 10.00:30.00
"24,563.05","24,566.85","24,541.60","24,558.00",24.00-8.00-19.00 10.00:25.00
"24,574.60","24,579.25","24,559.35","24,563.70",24.00-8.00-19.00 10.00:20.00
"24,579.10","24,590.20","24,563.70","24,574.45",24.00-8.00-19.00 10.00:15.00
"24,590.55","24,595.90","24,573.40","24,580.45",24.00-8.00-19.00 10.00:10.00
"24,587.25","24,602.10","24,579.50","24,591.10",24.00-8.00-19.00 10.00:5.00
"24,584.20","24,601.70","24,575.90","24,587.10",24.00-8.00-19.00 10.00:0.00
"24,571.30","24,585.70","24,566.00","24,585.25",24.00-8.00-19.00 9.00:55.00
"24,604.45","24,605.10","24,570.10","24,571.80",24.00-8.00-19.00 9.00:50.00
"24,615.35","24,625.05","24,602.70","24,605.50",24.00-8.00-19.00 9.00:45.00
"24,601.35","24,625.95","24,600.20","24,615.90",24.00-8.00-19.00 9.00:40.00
"24,601.25","24,608.85","24,588.05","24,600.60",24.00-8.00-19.00 9.00:35.00
"24,582.50","24,614.70","24,582.50","24,602.90",24.00-8.00-19.00 9.00:30.00
"24,597.85","24,600.05","24,576.25","24,581.10",24.00-8.00-19.00 9.00:25.00
"24,607.90","24,616.10","24,593.60","24,597.40",24.00-8.00-19.00 9.00:20.00
"24,636.80","24,638.80","24,600.95","24,612.00",24.00-8.00-19.00 9.00:15.00
"24,543.30","24,548.25","24,537.45","24,539.20",24.00-8.00-16.00 15.00:25.00
"24,549.40","24,550.90","24,541.90","24,543.80",24.00-8.00-16.00 15.00:20.00
"24,554.15","24,561.30","24,547.75","24,550.75",24.00-8.00-16.00 15.00:15.00
"24,556.80","24,563.90","24,545.00","24,554.35",24.00-8.00-16.00 15.00:10.00
"24,541.25","24,556.55","24,524.40","24,556.30",24.00-8.00-16.00 15.00:5.00
"24,513.20","24,545.90","24,507.75","24,542.40",24.00-8.00-16.00 15.00:0.00
"24,510.55","24,518.60","24,501.40","24,513.65",24.00-8.00-16.00 14.00:55.00
"24,490.95","24,513.50","24,489.35","24,511.15",24.00-8.00-16.00 14.00:50.00
"24,482.00","24,498.50","24,477.50","24,490.00",24.00-8.00-16.00 14.00:45.00
"24,490.65","24,491.00","24,473.25","24,481.05",24.00-8.00-16.00 14.00:40.00
"24,485.45","24,508.15","24,483.50","24,491.05",24.00-8.00-16.00 14.00:35.00
"24,504.85","24,508.00","24,482.40","24,483.35",24.00-8.00-16.00 14.00:30.00
"24,508.50","24,514.10","24,500.45","24,506.15",24.00-8.00-16.00 14.00:25.00
"24,508.50","24,515.90","24,488.05","24,510.00",24.00-8.00-16.00 14.00:20.00
