Open,High,Low,Close,Datetime
"5,305.35","5,325.32","5,302.40","5,308.12",24.00-5.00-20.00 9.00:30.00
"5,303.10","5,305.45","5,283.59","5,303.26",24.00-5.00-17.00 9.00:30.00
"5,310.07","5,325.49","5,296.19","5,297.09",24.00-5.00-16.00 9.00:30.00
"5,263.26","5,311.76","5,263.26","5,308.14",24.00-5.00-15.00 9.00:30.00
"5,221.10","5,250.37","5,217.98","5,246.69",24.00-5.00-14.00 9.00:30.00
"5,233.08","5,237.26","5,211.16","5,221.41",24.00-5.00-13.00 9.00:30.00
"5,225.49","5,239.66","5,209.68","5,222.69",24.00-5.00-10.00 9.00:30.00
"5,189.03","5,215.30","5,180.41","5,214.07",24.00-5.00-9.00 9.00:30.00
"5,168.98","5,191.95","5,165.86","5,187.66",24.00-5.00-8.00 9.00:30.00
"5,187.20","5,200.23","5,178.96","5,187.71",24.00-5.00-7.00 9.00:30.00
"5,142.42","5,181.00","5,142.42","5,180.73",24.00-5.00-6.00 9.00:30.00
"5,122.78","5,139.12","5,101.22","5,127.80",24.00-5.00-3.00 9.00:30.00
"5,049.32","5,073.21","5,011.05","5,064.19",24.00-5.00-2.00 9.00:30.00
"5,029.03","5,096.12","5,013.45","5,018.40",24.00-5.00-1.00 9.00:30.00
"5,103.78","5,110.83","5,035.31","5,035.70",24.00-4.00-30.00 9.00:30.00
"5,114.13","5,123.49","5,088.65","5,116.16",24.00-4.00-29.00 9.00:30.00
"5,084.65","5,114.62","5,073.14","5,099.95",24.00-4.00-26.00 9.00:30.00
"5,019.88","5,057.75","4,990.58","5,048.41",24.00-4.00-25.00 9.00:30.00
"5,084.86","5,089.48","5,047.02","5,071.62",24.00-4.00-24.00 9.00:30.00
"5,028.85","5,076.12","5,027.96","5,070.56",24.00-4.00-23.00 9.00:30.00
"4,987.33","5,038.84","4,969.40","5,010.59",24.00-4.00-22.00 9.00:30.00
"5,005.44","5,019.02","4,953.56","4,967.24",24.00-4.00-19.00 9.00:30.00
"5,031.52","5,056.66","5,001.89","5,011.11",24.00-4.00-18.00 9.00:30.00
"5,068.97","5,077.96","5,007.25","5,022.22",24.00-4.00-17.00 9.00:30.00
"5,064.59","5,079.84","5,039.83","5,051.40",24.00-4.00-16.00 9.00:30.00
"5,149.67","5,168.43","5,052.47","5,061.81",24.00-4.00-15.00 9.00:30.00
"5,171.51","5,175.03","5,107.94","5,123.40",24.00-4.00-12.00 9.00:30.00
"5,172.95","5,211.78","5,138.77","5,199.05",24.00-4.00-11.00 9.00:30.00
"5,167.88","5,178.43","5,138.70","5,160.65",24.00-4.00-10.00 9.00:30.00
"5,217.03","5,224.81","5,160.78","5,209.92",24.00-4.00-9.00 9.00:30.00
"5,211.37","5,219.57","5,197.35","5,202.38",24.00-4.00-8.00 9.00:30.00
"5,158.95","5,222.18","5,157.21","5,204.35",24.00-4.00-5.00 9.00:30.00
"5,244.05","5,256.59","5,146.06","5,147.20",24.00-4.00-4.00 9.00:30.00
"5,194.37","5,228.75","5,194.37","5,211.48",24.00-4.00-3.00 9.00:30.00
"5,204.29","5,208.34","5,184.05","5,205.80",24.00-4.00-2.00 9.00:30.00
"5,257.97","5,263.95","5,229.20","5,243.78",24.00-4.00-1.00 9.00:30.00
"5,248.03","5,264.85","5,245.82","5,254.34",24.00-3.00-28.00 9.00:30.00
"5,226.31","5,249.26","5,213.92","5,248.48",24.00-3.00-27.00 9.00:30.00
"5,228.85","5,235.16","5,203.42","5,203.57",24.00-3.00-26.00 9.00:30.00
"5,219.52","5,229.09","5,216.09","5,218.18",24.00-3.00-25.00 9.00:30.00
"5,242.48","5,246.09","5,229.87","5,234.17",24.00-3.00-22.00 9.00:30.00
"5,253.43","5,261.10","5,240.66","5,241.54",24.00-3.00-21.00 9.00:30.00
"5,181.69","5,226.19","5,171.55","5,224.63",24.00-3.00-20.00 9.00:30.00
"5,139.09","5,180.31","5,131.59","5,178.52",24.00-3.00-19.00 9.00:30.00
"5,154.77","5,175.60","5,145.47","5,149.43",24.00-3.00-18.00 9.00:30.00
"5,123.31","5,136.86","5,104.35","5,117.10",24.00-3.00-15.00 9.00:30.00
"5,175.14","5,176.85","5,123.30","5,150.47",24.00-3.00-14.00 9.00:30.00
"5,173.49","5,179.14","5,151.88","5,165.30",24.00-3.00-13.00 9.00:30.00
"5,134.30","5,179.87","5,114.48","5,175.28",24.00-3.00-12.00 9.00:30.00
"5,111.96","5,124.66","5,091.14","5,117.93",24.00-3.00-11.00 9.00:30.00
"5,164.46","5,189.26","5,117.50","5,123.68",24.00-3.00-8.00 9.00:30.00
"5,132.38","5,165.62","5,128.21","5,157.35",24.00-3.00-7.00 9.00:30.00
"5,108.03","5,127.97","5,092.22","5,104.77",24.00-3.00-6.00 9.00:30.00
"5,110.52","5,114.54","5,056.82","5,078.64",24.00-3.00-5.00 9.00:30.00
"5,130.99","5,149.67","5,127.18","5,130.94",24.00-3.00-4.00 9.00:30.00
"5,098.51","5,140.33","5,094.16","5,137.07",24.00-3.00-1.00 9.00:30.00
"5,085.36","5,104.99","5,061.89","5,096.28",24.00-2.00-29.00 9.00:30.00
"5,067.20","5,077.37","5,058.35","5,069.77",24.00-2.00-28.00 9.00:30.00
"5,074.60","5,080.69","5,057.29","5,078.17",24.00-2.00-27.00 9.00:30.00
"5,093.00","5,097.66","5,068.91","5,069.54",24.00-2.00-26.00 9.00:30.00
"5,100.92","5,111.06","5,081.46","5,088.79",24.00-2.00-23.00 9.00:30.00
"5,038.83","5,094.39","5,038.83","5,087.02",24.00-2.00-22.00 9.00:30.00
"4,963.03","4,983.21","4,946.00","4,981.81",24.00-2.00-21.00 9.00:30.00
"4,989.32","4,993.71","4,955.02","4,975.52",24.00-2.00-20.00 9.00:30.00
