Open,High,Low,Close,Datetime
"24,371.05","24,374.40","24,356.95","24,363.75",24.00-8.00-9.00 15.00:15.00
"24,366.35","24,385.90","24,360.20","24,371.85",24.00-8.00-9.00 14.00:45.00
"24,386.45","24,389.25","24,353.85","24,365.75",24.00-8.00-9.00 14.00:15.00
"24,360.20","24,389.60","24,357.05","24,385.45",24.00-8.00-9.00 13.00:45.00
"24,351.40","24,374.90","24,348.15","24,361.10",24.00-8.00-9.00 13.00:15.00
"24,354.35","24,356.80","24,338.10","24,352.10",24.00-8.00-9.00 12.00:45.00
"24,351.75","24,371.15","24,344.70","24,354.60",24.00-8.00-9.00 12.00:15.00
"24,355.25","24,374.90","24,349.35","24,352.75",24.00-8.00-9.00 11.00:45.00
"24,345.20","24,360.65","24,337.25","24,355.55",24.00-8.00-9.00 11.00:15.00
"24,329.20","24,369.70","24,324.40","24,346.15",24.00-8.00-9.00 10.00:45.00
"24,356.45","24,372.35","24,311.20","24,329.80",24.00-8.00-9.00 10.00:15.00
"24,404.20","24,419.75","24,347.60","24,356.00",24.00-8.00-9.00 9.00:45.00
"24,387.35","24,409.65","24,315.90","24,403.35",24.00-8.00-9.00 9.00:15.00
"24,115.55","24,117.90","24,079.70","24,098.70",24.00-8.00-8.00 15.00:15.00
"24,169.20","24,187.70","24,113.35","24,115.20",24.00-8.00-8.00 14.00:45.00
"24,154.75","24,195.80","24,134.05","24,169.90",24.00-8.00-8.00 14.00:15.00
"24,168.95","24,179.35","24,125.85","24,154.60",24.00-8.00-8.00 13.00:45.00
"24,159.40","24,179.55","24,092.15","24,168.55",24.00-8.00-8.00 13.00:15.00
"24,304.40","24,310.55","24,129.05","24,160.35",24.00-8.00-8.00 12.00:45.00
"24,308.10","24,340.50","24,284.75","24,305.10",24.00-8.00-8.00 12.00:15.00
"24,192.30","24,307.10","24,187.35","24,306.60",24.00-8.00-8.00 11.00:45.00
"24,186.05","24,252.95","24,167.80","24,191.90",24.00-8.00-8.00 11.00:15.00
"24,197.05","24,218.10","24,134.40","24,186.35",24.00-8.00-8.00 10.00:45.00
"24,161.65","24,259.60","24,142.75","24,196.70",24.00-8.00-8.00 10.00:15.00
"24,231.25","24,261.95","24,119.30","24,161.15",24.00-8.00-8.00 9.00:45.00
"24,251.70","24,263.50","24,192.85","24,230.55",24.00-8.00-8.00 9.00:15.00
"24,309.40","24,316.90","24,295.85","24,316.05",24.00-8.00-7.00 15.00:15.00
"24,268.50","24,312.25","24,244.45","24,309.95",24.00-8.00-7.00 14.00:45.00
"24,246.00","24,293.55","24,244.80","24,268.95",24.00-8.00-7.00 14.00:15.00
"24,221.20","24,246.60","24,209.05","24,246.60",24.00-8.00-7.00 13.00:45.00
