Open,High,Low,Close,Datetime
120,130,119.9,128.95,24.00-8.00-19.00 9.00:25.00
110.75,122,109.55,120.05,24.00-8.00-19.00 9.00:20.00
111,113.25,94.5,109.6,24.00-8.00-19.00 9.00:15.00
145,145.5,135.4,136.15,24.00-8.00-16.00 15.00:25.00
148.45,151.5,139.45,144.4,24.00-8.00-16.00 15.00:20.00
138.3,148.55,138.25,147.45,24.00-8.00-16.00 15.00:15.00
141.95,150.45,134.4,137.5,24.00-8.00-16.00 15.00:10.00
154.75,160.9,140.3,140.95,24.00-8.00-16.00 15.00:5.00
165.35,171.3,151.1,154.55,24.00-8.00-16.00 15.00:0.00
171.45,174.9,163.9,165.3,24.00-8.00-16.00 14.00:55.00
177.95,178.2,167.55,170.65,24.00-8.00-16.00 14.00:50.00
180.7,183.5,172.05,178,24.00-8.00-16.00 14.00:45.00
177.45,185.25,176.75,182,24.00-8.00-16.00 14.00:40.00
180,180.65,167.35,178.4,24.00-8.00-16.00 14.00:35.00
169.55,180.4,169.3,180.4,24.00-8.00-16.00 14.00:30.00
165.8,172.65,165,169.4,24.00-8.00-16.00 14.00:25.00
167.1,177,160.95,166,24.00-8.00-16.00 14.00:20.00
164.75,170.85,163.25,165.45,24.00-8.00-16.00 14.00:15.00
173.8,179.3,163.35,165.4,24.00-8.00-16.00 14.00:10.00
180.6,184.2,171,174.75,24.00-8.00-16.00 14.00:5.00
185.5,187.25,176.05,181.6,24.00-8.00-16.00 14.00:0.00
187,195.8,184.55,186.4,24.00-8.00-16.00 13.00:55.00
185.6,187.5,179.75,187.3,24.00-8.00-16.00 13.00:50.00
196.5,197.4,178.55,185.45,24.00-8.00-16.00 13.00:45.00
204.35,204.9,192,196.4,24.00-8.00-16.00 13.00:30.00
211.7,220.7,204.3,213.6,24.00-8.00-16.00 13.00:25.00
206.8,218.4,206.8,211.15,24.00-8.00-16.00 13.00:20.00
212.6,213.75,202.7,206.05,24.00-8.00-16.00 13.00:15.00
211,219.75,206.9,213.6,24.00-8.00-16.00 13.00:10.00
205.25,217.2,202.65,211.8,24.00-8.00-16.00 13.00:5.00
224,226.45,201.65,204.6,24.00-8.00-16.00 13.00:0.00
227.8,232.45,221.85,223.5,24.00-8.00-16.00 12.00:55.00
226.9,234,222.8,228.1,24.00-8.00-16.00 12.00:50.00
230.05,240.2,225,226.75,24.00-8.00-16.00 12.00:45.00
223,231.5,219.45,229.95,24.00-8.00-16.00 12.00:40.00
231,231,216.45,222.7,24.00-8.00-16.00 12.00:35.00
233.85,233.85,214.2,230.35,24.00-8.00-16.00 12.00:30.00
243.95,243.95,230.8,233,24.00-8.00-16.00 12.00:25.00
235.15,250.55,229,244.4,24.00-8.00-16.00 12.00:20.00
228.4,238.5,220,235.3,24.00-8.00-16.00 12.00:15.00
219.75,231.8,216.75,229,24.00-8.00-16.00 12.00:10.00
241,242.8,217.1,219.05,24.00-8.00-16.00 12.00:5.00
260.35,268.15,241.2,241.55,24.00-8.00-16.00 12.00:0.00
